antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'dont'}),"frozenset({'one', 'make'})",0.17402393564842064,0.04924465371787326,0.011183048852266038,0.06426155580608793,1.3049448204925505,0.002613300402638104,1.0160481833159596,0.2829186981706046
frozenset({'would'}),"frozenset({'want', 'book'})",0.22248381400824013,0.042574063174416324,0.012360211889346674,0.05555555555555555,1.3049155145929339,0.0028881719364747677,1.0137451095800298,0.3005299015897048
"frozenset({'want', 'book'})",frozenset({'would'}),0.042574063174416324,0.22248381400824013,0.012360211889346674,0.29032258064516125,1.3049155145929339,0.0028881719364747677,1.0955909893520253,0.24405737704918035
frozenset({'said'}),frozenset({'like'}),0.03825779870512066,0.24759662546596037,0.012360211889346674,0.32307692307692304,1.3048518834572715,0.00288771003220281,1.111504985107104,0.24292319947154697
frozenset({'like'}),frozenset({'said'}),0.24759662546596037,0.03825779870512066,0.012360211889346674,0.04992076069730586,1.3048518834572715,0.00288771003220281,1.012275778176929,0.31051095796858497
frozenset({'one'}),frozenset({'kid'}),0.2901706886403767,0.0274671375318815,0.010398273494212282,0.03583502366463827,1.3046508258475804,0.00242811528160629,1.0086788945233853,0.3289683657185769
frozenset({'kid'}),frozenset({'one'}),0.0274671375318815,0.2901706886403767,0.010398273494212282,0.37857142857142856,1.3046508258475804,0.00242811528160629,1.142254064256865,0.24010642468626406
frozenset({'like'}),"frozenset({'one', 'much'})",0.24759662546596037,0.044339807730037276,0.014322150284481068,0.05784469096671949,1.3045769462715455,0.003343763516714334,1.0143340308197586,0.3102962976192603
"frozenset({'one', 'much'})",frozenset({'like'}),0.044339807730037276,0.24759662546596037,0.014322150284481068,0.3230088495575221,1.3045769462715453,0.003343763516714334,1.1113932198999539,0.244300205577882
frozenset({'time'}),frozenset({'go'}),0.1948204826368452,0.1188934667451442,0.03021385128506965,0.15508559919436052,1.304408084312963,0.007050968711412951,1.04283526522297,0.28983443457127667
frozenset({'go'}),frozenset({'time'}),0.1188934667451442,0.1948204826368452,0.03021385128506965,0.25412541254125415,1.304408084312963,0.007050968711412951,1.0795105918629908,0.26485872177254943
frozenset({'tri'}),frozenset({'thought'}),0.11281145772022759,0.07200313910143222,0.01059446733372572,0.09391304347826086,1.3042909607866364,0.0024716882512608347,1.0241807965771141,0.26296542008616314
frozenset({'thought'}),frozenset({'tri'}),0.07200313910143222,0.11281145772022759,0.01059446733372572,0.14713896457765666,1.3042909607866364,0.0024716882512608347,1.0402498243344296,0.25140161302951997
frozenset({'bad'}),frozenset({'think'}),0.09456543064547773,0.1033941534235825,0.012752599568373553,0.13485477178423236,1.3042785043344067,0.002975086923647877,1.0363645516782571,0.2576581381781814
frozenset({'think'}),frozenset({'bad'}),0.1033941534235825,0.09456543064547773,0.012752599568373553,0.12333965844402277,1.3042785043344067,0.002975086923647877,1.0328225498914139,0.26019525332435606
frozenset({'read'}),frozenset({'love'}),0.19168138120463019,0.06827545615067687,0.017068864037669218,0.08904810644831115,1.3042476970317296,0.003981730300331311,1.0228032352143694,0.28859223300970865
frozenset({'read'}),frozenset({'recommend'}),0.19168138120463019,0.0659211300765156,0.0164802825191289,0.08597748208802455,1.3042476970317296,0.003844429255492301,1.0219429517527931,0.2885922330097087
frozenset({'recommend'}),frozenset({'read'}),0.0659211300765156,0.19168138120463019,0.0164802825191289,0.25,1.3042476970317296,0.003844429255492301,1.0777581583938265,0.2497374501155219
frozenset({'love'}),frozenset({'read'}),0.06827545615067687,0.19168138120463019,0.017068864037669218,0.25,1.3042476970317296,0.003981730300331311,1.0777581583938265,0.25036849863129074
frozenset({'end'}),frozenset({'read'}),0.07612320973121443,0.19168138120463019,0.01903080243280361,0.25,1.3042476970317296,0.00443940044979468,1.0777581583938265,0.25249522191548096
frozenset({'read'}),frozenset({'end'}),0.19168138120463019,0.07612320973121443,0.01903080243280361,0.09928352098259978,1.3042476970317296,0.00443940044979468,1.0257132091961403,0.28859223300970865
frozenset({'get'}),"frozenset({'good', 'book'})",0.21640180498332354,0.054934275063763,0.015499313321561703,0.07162284678150499,1.3037916073047533,0.0036114370423130093,1.0179760689498725,0.29735425923695663
"frozenset({'good', 'book'})",frozenset({'get'}),0.054934275063763,0.21640180498332354,0.015499313321561703,0.28214285714285714,1.303791607304753,0.0036114370423130093,1.091579575147609,0.2465503241420811
frozenset({'one'}),frozenset({'album'}),0.2901706886403767,0.030606238964096526,0.011575436531292917,0.03989181879648411,1.3033884641389712,0.0026944030943890987,1.0096713891352824,0.32792253422154766
frozenset({'album'}),frozenset({'one'}),0.030606238964096526,0.2901706886403767,0.011575436531292917,0.37820512820512825,1.3033884641389712,0.0026944030943890987,1.141581160537126,0.24011813981249935
"frozenset({'read', 'dont'})",frozenset({'one'}),0.0394349617422013,0.2901706886403767,0.014910731803021385,0.3781094527363184,1.3030587427971703,0.0034678617977799246,1.1414055326662742,0.24212300051599575
frozenset({'one'}),"frozenset({'read', 'dont'})",0.2901706886403767,0.0394349617422013,0.014910731803021385,0.05138607167004733,1.3030587427971703,0.0034678617977799246,1.0125984972083282,0.32764903552413355
frozenset({'realli'}),frozenset({'love'}),0.11908966058465764,0.06827545615067687,0.01059446733372572,0.08896210873146622,1.3029881270238026,0.002463566434478936,1.0227066873716801,0.2639693145261073
frozenset({'love'}),frozenset({'realli'}),0.06827545615067687,0.11908966058465764,0.01059446733372572,0.15517241379310343,1.3029881270238026,0.002463566434478936,1.0427101976753033,0.2495730095224725
frozenset({'understand'}),frozenset({'like'}),0.03649205414949971,0.24759662546596037,0.011771630370806356,0.3225806451612903,1.302847502683912,0.002736320907069132,1.110690695740725,0.24125432702097327
frozenset({'like'}),frozenset({'understand'}),0.24759662546596037,0.03649205414949971,0.011771630370806356,0.04754358161648177,1.3028475026839117,0.002736320907069132,1.0116031844120892,0.30894393741851356
"frozenset({'book', 'read'})",frozenset({'find'}),0.14243672748675693,0.07612320973121443,0.014125956444967627,0.09917355371900825,1.30280310130357,0.0032832155650653946,1.0255879965369088,0.2710287500953253
frozenset({'find'}),"frozenset({'book', 'read'})",0.07612320973121443,0.14243672748675693,0.014125956444967627,0.18556701030927836,1.30280310130357,0.0032832155650653946,1.0529574358706908,0.2515749982303391
frozenset({'bad'}),frozenset({'great'}),0.09456543064547773,0.0924072984108299,0.011379242691779479,0.12033195020746888,1.3021909770859212,0.0026407067227741787,1.0317445334103301,0.25630066873388874
frozenset({'great'}),frozenset({'bad'}),0.0924072984108299,0.09456543064547773,0.011379242691779479,0.12314225053078558,1.3021909770859212,0.0026407067227741787,1.0325900294575787,0.25569122053759114
frozenset({'lot'}),frozenset({'would'}),0.049440847557386695,0.22248381400824013,0.014322150284481068,0.2896825396825397,1.3020387167212566,0.003322361952113693,1.094603792569405,0.2440391874125282
frozenset({'would'}),frozenset({'lot'}),0.22248381400824013,0.049440847557386695,0.014322150284481068,0.06437389770723105,1.3020387167212566,0.003322361952113693,1.0159604890385707,0.2983522238237949
frozenset({'origin'}),frozenset({'good'}),0.0484598783598195,0.164802825191289,0.010398273494212282,0.21457489878542513,1.3020098322729903,0.00241194863208782,1.0633695988543899,0.2437696946119432
frozenset({'good'}),frozenset({'origin'}),0.164802825191289,0.0484598783598195,0.010398273494212282,0.0630952380952381,1.3020098322729903,0.00241194863208782,1.015620968459659,0.27772680734506094
frozenset({'one'}),frozenset({'action'}),0.2901706886403767,0.026486168334314303,0.010005885815185403,0.034482758620689655,1.3019157088122606,0.002320376110172482,1.008282182796603,0.32669983416252063
frozenset({'one'}),frozenset({'mean'}),0.2901706886403767,0.026486168334314303,0.010005885815185403,0.034482758620689655,1.3019157088122606,0.002320376110172482,1.008282182796603,0.32669983416252063
frozenset({'action'}),frozenset({'one'}),0.026486168334314303,0.2901706886403767,0.010005885815185403,0.37777777777777777,1.3019157088122604,0.002320376110172482,1.1407971075422516,0.238210399032648
frozenset({'mean'}),frozenset({'one'}),0.026486168334314303,0.2901706886403767,0.010005885815185403,0.37777777777777777,1.3019157088122604,0.002320376110172482,1.1407971075422516,0.238210399032648
frozenset({'would'}),frozenset({'actual'}),0.22248381400824013,0.05689621345889739,0.0164802825191289,0.07407407407407407,1.3019157088122604,0.0038217959461664414,1.018552089464391,0.29825889477668427
frozenset({'actual'}),frozenset({'would'}),0.05689621345889739,0.22248381400824013,0.0164802825191289,0.28965517241379307,1.3019157088122604,0.0038217959461664414,1.094561621056361,0.24589140836280418
frozenset({'read'}),frozenset({'seem'}),0.19168138120463019,0.08024328036099666,0.020011771630370805,0.1044012282497441,1.3010588273568353,0.004630628818384589,1.0269740743854927,0.28626737102608024
frozenset({'seem'}),frozenset({'read'}),0.08024328036099666,0.19168138120463019,0.020011771630370805,0.2493887530562347,1.3010588273568353,0.004630628818384589,1.0768805051703785,0.2515830991099511
frozenset({'write'}),frozenset({'dont'}),0.05199136747106141,0.17402393564842064,0.011771630370806356,0.22641509433962262,1.3010571993788687,0.002723887983748976,1.0677251563569194,0.24408457505518766
frozenset({'dont'}),frozenset({'write'}),0.17402393564842064,0.05199136747106141,0.011771630370806356,0.06764374295377677,1.3010571993788687,0.002723887983748976,1.016787977089684,0.2801464766429137
